"","Sample_ID","samp_type","conc","read","absorb","plate"
"1","Std_1","S",1.5,"read_1",0.91,"Plate14_lipid_21Oct19"
"2","Std_2","S",0.75,"read_1",0.46,"Plate14_lipid_21Oct19"
"3","Std_3","S",0.375,"read_1",0.25,"Plate14_lipid_21Oct19"
"4","Std_4","S",0.1875,"read_1",0.134,"Plate14_lipid_21Oct19"
"5","Std_5","S",0.09375,"read_1",0.065,"Plate14_lipid_21Oct19"
"6","Std_6","S",0.046875,"read_1",0.036,"Plate14_lipid_21Oct19"
"31","Std_1","S",1.5,"read_2",0.887,"Plate14_lipid_21Oct19"
"32","Std_2","S",0.75,"read_2",0.484,"Plate14_lipid_21Oct19"
"33","Std_3","S",0.375,"read_2",0.274,"Plate14_lipid_21Oct19"
"34","Std_4","S",0.1875,"read_2",0.162,"Plate14_lipid_21Oct19"
"35","Std_5","S",0.09375,"read_2",0.077,"Plate14_lipid_21Oct19"
"36","Std_6","S",0.046875,"read_2",0.019,"Plate14_lipid_21Oct19"
"61","Std_1","S",1.5,"read_3",0.916,"Plate14_lipid_21Oct19"
"62","Std_2","S",0.75,"read_3",0.59,"Plate14_lipid_21Oct19"
"63","Std_3","S",0.375,"read_3",0.284,"Plate14_lipid_21Oct19"
"64","Std_4","S",0.1875,"read_3",0.165,"Plate14_lipid_21Oct19"
"65","Std_5","S",0.09375,"read_3",0.072,"Plate14_lipid_21Oct19"
"66","Std_6","S",0.046875,"read_3",0.044,"Plate14_lipid_21Oct19"
"7","CFSB9","coral",0.00035167952286818,"read_1",0.027,"Plate14_lipid_21Oct19"
"8","CNSE9","coral",0.00697945026483964,"read_1",0.031,"Plate14_lipid_21Oct19"
"9","CNTB8","coral",-0.0162177473320605,"read_1",0.017,"Plate14_lipid_21Oct19"
"10","CNTC18","coral",0.0202349917487826,"read_1",0.039,"Plate14_lipid_21Oct19"
"11","CNSC9","coral",0.0334905332327255,"read_1",0.047,"Plate14_lipid_21Oct19"
"12","CFSA9","coral",-0.00958997659008901,"read_1",0.021,"Plate14_lipid_21Oct19"
"13","CFSC11","coral",0.0434321893456827,"read_1",0.053,"Plate14_lipid_21Oct19"
"14","CNSB15","coral",-0.0443857729854392,"read_1",0,"Plate14_lipid_21Oct19"
"15","CFSB7","coral",-0.0129038619610747,"read_1",0.019,"Plate14_lipid_21Oct19"
"16","CFSD12","coral",0.015264163692304,"read_1",0.036,"Plate14_lipid_21Oct19"
"17","CNSA5","coral",0.00366556489385392,"read_1",0.029,"Plate14_lipid_21Oct19"
"18","CFSE9","coral",0.00532250757934678,"read_1",0.03,"Plate14_lipid_21Oct19"
"19","CNSE22","coral",0.0185780490632897,"read_1",0.038,"Plate14_lipid_21Oct19"
"20","CNSD10","coral",0.0401183039746969,"read_1",0.051,"Plate14_lipid_21Oct19"
"21","CNTB15","coral",0.0318335905472326,"read_1",0.046,"Plate14_lipid_21Oct19"
"22","CNTE17","coral",0.00366556489385392,"read_1",0.029,"Plate14_lipid_21Oct19"
"23","CFTF15","coral",0.0169211063777968,"read_1",0.037,"Plate14_lipid_21Oct19"
"24","CNTA7","coral",0.0252058198052612,"read_1",0.042,"Plate14_lipid_21Oct19"
"25","CNTD9","coral",0.0285197051762469,"read_1",0.044,"Plate14_lipid_21Oct19"
"37","CFSB9","coral",0.015264163692304,"read_2",0.036,"Plate14_lipid_21Oct19"
"38","CNSE9","coral",0.0102933356358254,"read_2",0.033,"Plate14_lipid_21Oct19"
"39","CNTB8","coral",0.00863639295033251,"read_2",0.032,"Plate14_lipid_21Oct19"
"40","CNTC18","coral",0.0600016162006113,"read_2",0.063,"Plate14_lipid_21Oct19"
"41","CNSC9","coral",0.026862762490754,"read_2",0.043,"Plate14_lipid_21Oct19"
"42","CFSA9","coral",-0.0178746900175533,"read_2",0.016,"Plate14_lipid_21Oct19"
"43","CFSC11","coral",0.0865126991684972,"read_2",0.079,"Plate14_lipid_21Oct19"
"44","CNSB15","coral",0.00200862220836105,"read_2",0.028,"Plate14_lipid_21Oct19"
"45","CFSB7","coral",0.0351474759182184,"read_2",0.048,"Plate14_lipid_21Oct19"
"46","CFSD12","coral",0.0136072210068111,"read_2",0.035,"Plate14_lipid_21Oct19"
"47","CNSA5","coral",-0.0112469192755819,"read_2",0.02,"Plate14_lipid_21Oct19"
"48","CFSE9","coral",0.0202349917487826,"read_2",0.039,"Plate14_lipid_21Oct19"
"49","CNSE22","coral",-0.00627609121910328,"read_2",0.023,"Plate14_lipid_21Oct19"
"50","CNSD10","coral",0.00035167952286818,"read_2",0.027,"Plate14_lipid_21Oct19"
"51","CNTB15","coral",0.0218919344342754,"read_2",0.04,"Plate14_lipid_21Oct19"
"52","CNTE17","coral",-0.00130526316262469,"read_2",0.026,"Plate14_lipid_21Oct19"
"53","CFTF15","coral",0.0500599600876542,"read_2",0.057,"Plate14_lipid_21Oct19"
"54","CNTA7","coral",0.0218919344342754,"read_2",0.04,"Plate14_lipid_21Oct19"
"55","CNTD9","coral",0.026862762490754,"read_2",0.043,"Plate14_lipid_21Oct19"
"67","CFSB9","coral",0.0169211063777968,"read_3",0.037,"Plate14_lipid_21Oct19"
"68","CNSE9","coral",0.0368044186037112,"read_3",0.049,"Plate14_lipid_21Oct19"
"69","CNTB8","coral",0.00532250757934678,"read_3",0.03,"Plate14_lipid_21Oct19"
"70","CNTC18","coral",0.0550307881441327,"read_3",0.06,"Plate14_lipid_21Oct19"
"71","CNSC9","coral",0.0102933356358254,"read_3",0.033,"Plate14_lipid_21Oct19"
"72","CFSA9","coral",0.00366556489385392,"read_3",0.029,"Plate14_lipid_21Oct19"
"73","CFSC11","coral",0.114680724821876,"read_3",0.096,"Plate14_lipid_21Oct19"
"74","CNSB15","coral",-0.0327871741869891,"read_3",0.007,"Plate14_lipid_21Oct19"
"75","CFSB7","coral",-0.0178746900175533,"read_3",0.016,"Plate14_lipid_21Oct19"
"76","CFSD12","coral",0.0169211063777968,"read_3",0.037,"Plate14_lipid_21Oct19"
"77","CNSA5","coral",0.00863639295033251,"read_3",0.032,"Plate14_lipid_21Oct19"
"78","CFSE9","coral",-0.00461914853361041,"read_3",0.024,"Plate14_lipid_21Oct19"
"79","CNSE22","coral",0.0218919344342754,"read_3",0.04,"Plate14_lipid_21Oct19"
"80","CNSD10","coral",-0.00130526316262469,"read_3",0.026,"Plate14_lipid_21Oct19"
"81","CNTB15","coral",0.0682863296280757,"read_3",0.068,"Plate14_lipid_21Oct19"
"82","CNTE17","coral",0.0467460747166684,"read_3",0.055,"Plate14_lipid_21Oct19"
"83","CFTF15","coral",0.0119502783213182,"read_3",0.034,"Plate14_lipid_21Oct19"
"84","CNTA7","coral",0.0136072210068111,"read_3",0.035,"Plate14_lipid_21Oct19"
"85","CNTD9","coral",-0.00461914853361041,"read_3",0.024,"Plate14_lipid_21Oct19"
